texto_reclamacao,categoria,empresa,estado,valor_envolvido,tempo_resposta_dias
Entrega foi feita no endereço errado,Entrega,SuperCompras,RS,367.61,4.2
Produto chegou com defeito de fábrica,Produto Defeituoso,FastDelivery,GO,353.36,3.9
Entregador foi mal educado,Entrega,FastDelivery,CE,227.48,3.1
Produto veio danificado na entrega,Produto Defeituoso,FastDelivery,PR,381.73,13.6
Funcionário foi grosseiro e mal educado,Atendimento,MegaStore,PR,47.85,15.8
Produto chegou muito atrasado,Entrega,FastDelivery,BA,93.35,3.8
Taxa não informada na contratação,Cobrança Indevida,TechMart,BA,47.35,4.8
Produto veio danificado na entrega,Produto Defeituoso,TechMart,RJ,1351.06,11.9
Taxa não informada na contratação,Cobrança Indevida,EletroMax,SP,387.28,9.5
Não consegui resolver meu problema,Atendimento,EletroMax,RJ,47.09,13.5
Não recebi o produto comprado,Entrega,MegaStore,BA,120.1,5.8
Não recebi o produto comprado,Entrega,MegaStore,PE,425.67,6.4
Produto chegou com defeito de fábrica,Produto Defeituoso,TechMart,PR,1044.79,11.3
Entrega foi feita no endereço errado,Entrega,FastDelivery,BA,747.89,5.4
Valor diferente do acordado,Cobrança Indevida,EletroMax,MG,124.98,2.6
Fui mal atendido na loja física,Atendimento,TechMart,SC,37.45,16.2
Cobrança duplicada no cartão,Cobrança Indevida,FastDelivery,SP,370.14,6.2
Defeito na tela do celular,Produto Defeituoso,TechMart,PE,542.66,8.3
Não recebi o produto comprado,Entrega,EletroMax,CE,640.3,4.8
Produto chegou com defeito de fábrica,Produto Defeituoso,FastDelivery,SP,1130.96,3.8
Entrega foi feita no endereço errado,Entrega,SuperCompras,BA,254.42,2.2
Não consegui resolver meu problema,Atendimento,EletroMax,BA,0.64,15.7
Aparelho parou de funcionar após poucos dias,Produto Defeituoso,SuperCompras,SP,1422.96,14.1
Fui mal atendido na loja física,Atendimento,SuperCompras,PR,76.29,1.9
Produto não corresponde à descrição,Produto Defeituoso,FastDelivery,PE,963.24,11.8
Defeito na tela do celular,Produto Defeituoso,TechMart,PE,904.45,12.7
Defeito na tela do celular,Produto Defeituoso,MegaStore,RJ,470.23,5.7
Produto não foi entregue no prazo,Entrega,EletroMax,PE,498.41,2.7
Atendente não soube me informar,Atendimento,TechMart,GO,19.98,2.1
Cobrança duplicada no cartão,Cobrança Indevida,TechMart,SP,133.73,7.1
Aparelho parou de funcionar após poucos dias,Produto Defeituoso,EletroMax,MG,1073.23,11.9
Cobrança duplicada no cartão,Cobrança Indevida,MegaStore,GO,34.45,9.7
Cobrança duplicada no cartão,Cobrança Indevida,FastDelivery,SP,333.62,2.7
Entrega foi feita no endereço errado,Entrega,EletroMax,MG,419.87,3.1
Produto não corresponde à descrição,Produto Defeituoso,FastDelivery,CE,938.46,10.5
Produto chegou com defeito de fábrica,Produto Defeituoso,FastDelivery,BA,899.51,12.1
Produto chegou muito atrasado,Entrega,MegaStore,SP,98.52,7.0
Defeito na tela do celular,Produto Defeituoso,SuperCompras,RS,437.06,3.3
Valor diferente do acordado,Cobrança Indevida,EletroMax,PE,458.35,2.7
Entrega foi feita no endereço errado,Entrega,TechMart,CE,528.59,2.6
Cobrança duplicada no cartão,Cobrança Indevida,EletroMax,MG,383.38,1.5
Cobrança duplicada no cartão,Cobrança Indevida,FastDelivery,PE,338.49,4.7
Funcionário foi grosseiro e mal educado,Atendimento,FastDelivery,BA,29.51,6.7
Produto não foi entregue no prazo,Entrega,TechMart,RJ,172.17,3.1
Defeito na tela do celular,Produto Defeituoso,TechMart,RS,283.79,11.3
Defeito na tela do celular,Produto Defeituoso,EletroMax,CE,634.89,9.3
Atendimento muito demorado no telefone,Atendimento,EletroMax,GO,11.66,11.4
Produto não corresponde à descrição,Produto Defeituoso,FastDelivery,BA,1334.39,14.0
Produto chegou muito atrasado,Entrega,MegaStore,GO,337.63,3.0
Produto não corresponde à descrição,Produto Defeituoso,EletroMax,PR,242.54,2.1
Produto não corresponde à descrição,Produto Defeituoso,EletroMax,SC,468.66,1.9
Entrega foi feita no endereço errado,Entrega,TechMart,GO,54.98,5.0
Não recebi o produto comprado,Entrega,FastDelivery,BA,162.84,4.4
Cobrança após cancelamento do serviço,Cobrança Indevida,EletroMax,SC,223.3,8.1
Taxa não informada na contratação,Cobrança Indevida,EletroMax,GO,186.81,1.5
Produto não foi entregue no prazo,Entrega,FastDelivery,SP,382.61,2.4
Cobraram valor a mais na fatura,Cobrança Indevida,TechMart,PE,297.26,4.2
Produto chegou com defeito de fábrica,Produto Defeituoso,MegaStore,GO,358.69,1.7
Funcionário foi grosseiro e mal educado,Atendimento,EletroMax,SP,83.46,7.8
Produto não corresponde à descrição,Produto Defeituoso,EletroMax,SC,1535.67,11.9
Cobrança após cancelamento do serviço,Cobrança Indevida,MegaStore,SC,346.02,1.7
Cobraram valor a mais na fatura,Cobrança Indevida,SuperCompras,CE,469.81,3.8
Não consegui resolver meu problema,Atendimento,SuperCompras,RJ,33.21,18.6
Fui mal atendido na loja física,Atendimento,FastDelivery,BA,51.23,15.7
Valor diferente do acordado,Cobrança Indevida,MegaStore,SP,331.15,3.1
Taxa não informada na contratação,Cobrança Indevida,FastDelivery,GO,173.43,4.9
Cobrança duplicada no cartão,Cobrança Indevida,SuperCompras,SP,233.18,7.8
Funcionário foi grosseiro e mal educado,Atendimento,EletroMax,RS,55.63,1.6
Não recebi o produto comprado,Entrega,EletroMax,CE,159.52,6.3
Cobrança duplicada no cartão,Cobrança Indevida,MegaStore,PE,170.26,8.5
Valor diferente do acordado,Cobrança Indevida,MegaStore,BA,325.0,6.7
Taxa não informada na contratação,Cobrança Indevida,SuperCompras,RJ,345.17,4.9
Entrega foi feita no endereço errado,Entrega,MegaStore,BA,671.36,4.2
Fui mal atendido na loja física,Atendimento,FastDelivery,RS,76.81,10.5
Funcionário foi grosseiro e mal educado,Atendimento,SuperCompras,PE,30.85,11.9
Produto chegou muito atrasado,Entrega,MegaStore,CE,34.91,6.9
Não recebi o produto comprado,Entrega,TechMart,PE,192.38,6.1
Produto chegou muito atrasado,Entrega,TechMart,RS,324.33,4.7
Produto não corresponde à descrição,Produto Defeituoso,SuperCompras,MG,1995.36,3.7
Atendimento muito demorado no telefone,Atendimento,SuperCompras,SP,30.45,4.8
Não consegui resolver meu problema,Atendimento,EletroMax,PR,30.72,11.4
Atendimento muito demorado no telefone,Atendimento,FastDelivery,RJ,17.09,8.9
Aparelho parou de funcionar após poucos dias,Produto Defeituoso,SuperCompras,PE,1396.29,5.8
Cobraram valor a mais na fatura,Cobrança Indevida,TechMart,MG,309.18,2.5
Cobrança duplicada no cartão,Cobrança Indevida,MegaStore,PR,420.77,9.8
Cobraram valor a mais na fatura,Cobrança Indevida,SuperCompras,PE,221.42,1.5
Cobraram valor a mais na fatura,Cobrança Indevida,MegaStore,RJ,431.82,7.6
Produto não foi entregue no prazo,Entrega,FastDelivery,CE,483.03,3.4
Taxa não informada na contratação,Cobrança Indevida,SuperCompras,GO,454.04,4.4
Atendente não soube me informar,Atendimento,FastDelivery,SP,22.18,7.0
Entregador foi mal educado,Entrega,EletroMax,CE,103.43,3.7
Defeito na tela do celular,Produto Defeituoso,EletroMax,BA,461.7,11.5
Defeito na tela do celular,Produto Defeituoso,FastDelivery,PR,1468.68,7.8
Valor diferente do acordado,Cobrança Indevida,MegaStore,CE,120.12,3.7
Valor diferente do acordado,Cobrança Indevida,EletroMax,RS,372.27,4.1
Funcionário foi grosseiro e mal educado,Atendimento,EletroMax,SC,3.47,8.4
Taxa não informada na contratação,Cobrança Indevida,EletroMax,SC,144.72,9.0
Não recebi o produto comprado,Entrega,TechMart,BA,115.58,4.9
Produto não foi entregue no prazo,Entrega,FastDelivery,PE,450.1,1.6
Defeito na tela do celular,Produto Defeituoso,MegaStore,PR,209.95,1.5
Entrega foi feita no endereço errado,Entrega,EletroMax,CE,372.29,4.0
Produto chegou muito atrasado,Entrega,SuperCompras,MG,474.91,6.2
Cobrança após cancelamento do serviço,Cobrança Indevida,SuperCompras,RS,234.29,6.6
Produto não foi entregue no prazo,Entrega,EletroMax,GO,663.92,4.3
Entrega foi feita no endereço errado,Entrega,SuperCompras,SP,715.23,7.0
Defeito na tela do celular,Produto Defeituoso,EletroMax,CE,1593.35,9.4
Não recebi o produto comprado,Entrega,MegaStore,CE,251.63,1.6
Cobrança após cancelamento do serviço,Cobrança Indevida,MegaStore,MG,344.71,6.3
Atendimento muito demorado no telefone,Atendimento,SuperCompras,SC,42.91,6.2
Produto veio danificado na entrega,Produto Defeituoso,SuperCompras,CE,505.0,9.8
Aparelho parou de funcionar após poucos dias,Produto Defeituoso,EletroMax,SC,305.4,9.5
Entrega foi feita no endereço errado,Entrega,MegaStore,PE,797.62,2.1
Aparelho parou de funcionar após poucos dias,Produto Defeituoso,FastDelivery,GO,296.45,1.4
Atendimento muito demorado no telefone,Atendimento,SuperCompras,RS,48.27,15.8
Valor diferente do acordado,Cobrança Indevida,FastDelivery,GO,256.45,6.7
Aparelho parou de funcionar após poucos dias,Produto Defeituoso,EletroMax,PR,1174.92,8.9
Entregador foi mal educado,Entrega,SuperCompras,PR,492.7,3.0
Entrega foi feita no endereço errado,Entrega,FastDelivery,SC,140.33,5.3
Entregador foi mal educado,Entrega,FastDelivery,GO,639.99,5.1
Não recebi o produto comprado,Entrega,SuperCompras,SC,257.78,1.0
Cobrança duplicada no cartão,Cobrança Indevida,EletroMax,RS,176.4,2.1
Valor diferente do acordado,Cobrança Indevida,TechMart,BA,287.16,4.1
Não recebi o produto comprado,Entrega,TechMart,PE,384.72,4.0
Produto veio danificado na entrega,Produto Defeituoso,MegaStore,RS,1307.56,5.0
Não consegui resolver meu problema,Atendimento,TechMart,PR,71.21,7.8
Cobrança após cancelamento do serviço,Cobrança Indevida,MegaStore,RS,291.56,5.6
Atendimento muito demorado no telefone,Atendimento,SuperCompras,PR,38.87,5.6
Cobraram valor a mais na fatura,Cobrança Indevida,FastDelivery,BA,58.9,8.5
Não consegui resolver meu problema,Atendimento,EletroMax,SC,87.36,19.9
Não consegui resolver meu problema,Atendimento,TechMart,CE,47.65,7.0
Fui mal atendido na loja física,Atendimento,FastDelivery,SC,59.23,14.2
Produto não corresponde à descrição,Produto Defeituoso,FastDelivery,MG,1349.9,2.7
Entregador foi mal educado,Entrega,FastDelivery,PE,649.15,3.6
Cobrança duplicada no cartão,Cobrança Indevida,EletroMax,PE,156.58,5.0
Produto veio danificado na entrega,Produto Defeituoso,MegaStore,MG,490.76,8.7
Não consegui resolver meu problema,Atendimento,SuperCompras,BA,58.56,11.3
Produto chegou muito atrasado,Entrega,MegaStore,BA,209.98,4.8
Cobrança duplicada no cartão,Cobrança Indevida,SuperCompras,MG,350.87,3.3
Atendimento muito demorado no telefone,Atendimento,SuperCompras,SP,97.7,11.4
Produto chegou muito atrasado,Entrega,EletroMax,RS,176.25,5.2
Atendente não soube me informar,Atendimento,MegaStore,MG,91.13,1.4
Produto não foi entregue no prazo,Entrega,EletroMax,PE,671.57,2.8
Não recebi o produto comprado,Entrega,MegaStore,SP,550.6,2.8
Produto não foi entregue no prazo,Entrega,EletroMax,BA,274.85,4.5
Aparelho parou de funcionar após poucos dias,Produto Defeituoso,TechMart,SC,960.12,2.1
Não consegui resolver meu problema,Atendimento,FastDelivery,SP,10.63,3.2
Entregador foi mal educado,Entrega,EletroMax,GO,789.07,1.0
Cobrança após cancelamento do serviço,Cobrança Indevida,FastDelivery,CE,49.49,8.3
Atendimento muito demorado no telefone,Atendimento,SuperCompras,SP,15.14,10.1
Cobrança após cancelamento do serviço,Cobrança Indevida,SuperCompras,SC,436.72,3.7
Entregador foi mal educado,Entrega,FastDelivery,RJ,59.33,4.7
Funcionário foi grosseiro e mal educado,Atendimento,FastDelivery,SP,4.2,7.9
Produto não corresponde à descrição,Produto Defeituoso,EletroMax,GO,1615.87,8.6
Cobrança duplicada no cartão,Cobrança Indevida,MegaStore,PE,210.23,3.7
Produto chegou muito atrasado,Entrega,MegaStore,RS,503.09,4.1
Funcionário foi grosseiro e mal educado,Atendimento,TechMart,RS,20.08,7.0
Atendente não soube me informar,Atendimento,FastDelivery,RS,78.35,6.3
Cobrança após cancelamento do serviço,Cobrança Indevida,TechMart,CE,494.12,3.9
Atendente não soube me informar,Atendimento,MegaStore,PR,42.27,19.9
Atendimento muito demorado no telefone,Atendimento,SuperCompras,SP,14.91,15.9
Não consegui resolver meu problema,Atendimento,TechMart,SC,8.61,16.5
Produto não corresponde à descrição,Produto Defeituoso,EletroMax,RJ,1305.72,6.3
Funcionário foi grosseiro e mal educado,Atendimento,MegaStore,BA,90.24,8.3
Aparelho parou de funcionar após poucos dias,Produto Defeituoso,TechMart,CE,910.24,3.8
Produto não foi entregue no prazo,Entrega,SuperCompras,GO,457.11,6.0
Funcionário foi grosseiro e mal educado,Atendimento,TechMart,BA,59.86,8.9
Não recebi o produto comprado,Entrega,FastDelivery,MG,511.75,4.4
Produto veio danificado na entrega,Produto Defeituoso,EletroMax,CE,602.56,12.7
Taxa não informada na contratação,Cobrança Indevida,EletroMax,MG,108.54,2.8
Cobrança duplicada no cartão,Cobrança Indevida,FastDelivery,SC,265.62,5.3
Entrega foi feita no endereço errado,Entrega,FastDelivery,RS,35.65,1.2
Entregador foi mal educado,Entrega,MegaStore,PE,459.56,6.8
Aparelho parou de funcionar após poucos dias,Produto Defeituoso,TechMart,SC,1105.48,10.0
Aparelho parou de funcionar após poucos dias,Produto Defeituoso,MegaStore,GO,628.39,2.1
Produto não foi entregue no prazo,Entrega,TechMart,CE,612.7,5.1
Produto não foi entregue no prazo,Entrega,MegaStore,SC,556.92,6.7
Fui mal atendido na loja física,Atendimento,MegaStore,RJ,67.24,4.2
Produto chegou muito atrasado,Entrega,MegaStore,PE,349.89,1.1
Defeito na tela do celular,Produto Defeituoso,TechMart,RJ,130.78,14.5
Fui mal atendido na loja física,Atendimento,EletroMax,PR,9.7,4.4
Taxa não informada na contratação,Cobrança Indevida,SuperCompras,CE,282.53,5.3
Valor diferente do acordado,Cobrança Indevida,EletroMax,RJ,321.32,6.8
Cobrança duplicada no cartão,Cobrança Indevida,EletroMax,CE,439.67,8.5
Produto não foi entregue no prazo,Entrega,TechMart,MG,599.56,4.7
Produto chegou muito atrasado,Entrega,SuperCompras,BA,239.94,5.4
Produto não corresponde à descrição,Produto Defeituoso,FastDelivery,RS,1739.53,1.8
Não consegui resolver meu problema,Atendimento,SuperCompras,MG,45.96,13.8
Atendente não soube me informar,Atendimento,FastDelivery,MG,39.6,3.5
Entregador foi mal educado,Entrega,SuperCompras,GO,128.23,3.5
Não consegui resolver meu problema,Atendimento,MegaStore,BA,58.9,18.8
Atendimento muito demorado no telefone,Atendimento,EletroMax,PE,19.88,7.0
Entrega foi feita no endereço errado,Entrega,MegaStore,GO,226.0,3.8
Não recebi o produto comprado,Entrega,MegaStore,SC,284.53,5.5
Produto veio danificado na entrega,Produto Defeituoso,SuperCompras,GO,1239.71,7.8
Valor diferente do acordado,Cobrança Indevida,EletroMax,SC,221.17,6.4
Aparelho parou de funcionar após poucos dias,Produto Defeituoso,TechMart,CE,62.61,7.9
Produto veio danificado na entrega,Produto Defeituoso,EletroMax,RJ,1885.87,3.4
Cobraram valor a mais na fatura,Cobrança Indevida,MegaStore,RJ,362.92,4.3
Entregador foi mal educado,Entrega,MegaStore,SP,181.15,1.1
Produto chegou muito atrasado,Entrega,SuperCompras,PE,273.38,4.8
Cobrança duplicada no cartão,Cobrança Indevida,TechMart,SC,458.26,6.1
Cobraram valor a mais na fatura,Cobrança Indevida,SuperCompras,GO,138.49,3.8
Produto veio danificado na entrega,Produto Defeituoso,EletroMax,CE,181.38,12.6
Taxa não informada na contratação,Cobrança Indevida,SuperCompras,PE,122.72,3.5
Entregador foi mal educado,Entrega,TechMart,RS,530.02,5.0
Aparelho parou de funcionar após poucos dias,Produto Defeituoso,FastDelivery,SP,89.27,3.2
Entregador foi mal educado,Entrega,EletroMax,RS,651.94,6.3
Produto veio danificado na entrega,Produto Defeituoso,FastDelivery,CE,1485.04,3.9
Produto não corresponde à descrição,Produto Defeituoso,TechMart,PR,51.81,13.6
Fui mal atendido na loja física,Atendimento,FastDelivery,GO,41.63,7.8
Produto não foi entregue no prazo,Entrega,FastDelivery,BA,270.7,3.5
Cobrança após cancelamento do serviço,Cobrança Indevida,EletroMax,CE,395.31,7.9
Aparelho parou de funcionar após poucos dias,Produto Defeituoso,FastDelivery,BA,304.9,10.4
Aparelho parou de funcionar após poucos dias,Produto Defeituoso,FastDelivery,CE,1465.92,6.1
Taxa não informada na contratação,Cobrança Indevida,MegaStore,SC,170.37,6.7
Não consegui resolver meu problema,Atendimento,FastDelivery,MG,52.34,18.5
Produto não foi entregue no prazo,Entrega,FastDelivery,PE,279.27,5.6
Atendimento muito demorado no telefone,Atendimento,MegaStore,SC,64.16,1.5
Produto chegou com defeito de fábrica,Produto Defeituoso,MegaStore,GO,210.69,9.4
Taxa não informada na contratação,Cobrança Indevida,TechMart,BA,431.47,7.9
Aparelho parou de funcionar após poucos dias,Produto Defeituoso,EletroMax,PE,154.86,10.4
Taxa não informada na contratação,Cobrança Indevida,MegaStore,RJ,50.57,2.6
Produto não corresponde à descrição,Produto Defeituoso,SuperCompras,PR,1381.17,4.3
Cobrança duplicada no cartão,Cobrança Indevida,FastDelivery,SC,432.08,2.2
Produto veio danificado na entrega,Produto Defeituoso,FastDelivery,MG,1752.43,3.4
Produto chegou muito atrasado,Entrega,TechMart,SC,97.88,2.2
Cobrança duplicada no cartão,Cobrança Indevida,SuperCompras,PR,325.3,4.6
Produto chegou com defeito de fábrica,Produto Defeituoso,MegaStore,SP,948.75,12.6
Produto chegou muito atrasado,Entrega,FastDelivery,MG,675.92,5.0
Produto veio danificado na entrega,Produto Defeituoso,TechMart,GO,321.53,9.6
Funcionário foi grosseiro e mal educado,Atendimento,MegaStore,RJ,63.14,6.1
Cobrança após cancelamento do serviço,Cobrança Indevida,TechMart,RJ,392.24,4.5
Não recebi o produto comprado,Entrega,TechMart,SP,73.24,2.5
Atendimento muito demorado no telefone,Atendimento,EletroMax,RJ,16.75,9.8
Cobrança após cancelamento do serviço,Cobrança Indevida,TechMart,SC,50.3,4.6
Atendimento muito demorado no telefone,Atendimento,EletroMax,PE,59.54,8.9
Produto veio danificado na entrega,Produto Defeituoso,EletroMax,SC,431.64,12.5
Atendimento muito demorado no telefone,Atendimento,MegaStore,SP,27.69,1.9
Entregador foi mal educado,Entrega,SuperCompras,SC,269.91,6.1
Defeito na tela do celular,Produto Defeituoso,MegaStore,PE,1162.98,7.7
Atendimento muito demorado no telefone,Atendimento,SuperCompras,PE,55.38,10.7
Funcionário foi grosseiro e mal educado,Atendimento,EletroMax,SC,73.29,17.6
Cobraram valor a mais na fatura,Cobrança Indevida,TechMart,SP,77.19,5.6
Não consegui resolver meu problema,Atendimento,MegaStore,SP,71.87,3.1
Não recebi o produto comprado,Entrega,SuperCompras,BA,607.7,2.6
Produto veio danificado na entrega,Produto Defeituoso,SuperCompras,SC,715.43,7.2
Cobrança após cancelamento do serviço,Cobrança Indevida,SuperCompras,SP,433.49,8.8
Taxa não informada na contratação,Cobrança Indevida,SuperCompras,CE,38.09,8.3
Funcionário foi grosseiro e mal educado,Atendimento,SuperCompras,SP,88.65,8.6
Não consegui resolver meu problema,Atendimento,EletroMax,PR,53.47,17.3
Valor diferente do acordado,Cobrança Indevida,SuperCompras,MG,78.5,1.2
Produto chegou muito atrasado,Entrega,TechMart,SC,215.7,2.4
Cobrança duplicada no cartão,Cobrança Indevida,TechMart,BA,127.48,4.3
Produto não corresponde à descrição,Produto Defeituoso,FastDelivery,MG,693.8,2.5
Taxa não informada na contratação,Cobrança Indevida,SuperCompras,SP,171.02,7.1
Cobrança duplicada no cartão,Cobrança Indevida,MegaStore,PE,53.86,9.2
Produto chegou com defeito de fábrica,Produto Defeituoso,FastDelivery,PR,1112.03,2.1
Cobraram valor a mais na fatura,Cobrança Indevida,MegaStore,PR,432.63,2.5
Aparelho parou de funcionar após poucos dias,Produto Defeituoso,FastDelivery,SP,1681.02,8.0
Produto chegou com defeito de fábrica,Produto Defeituoso,MegaStore,BA,1962.55,9.5
Entrega foi feita no endereço errado,Entrega,EletroMax,RS,610.99,3.7
Produto chegou muito atrasado,Entrega,SuperCompras,CE,179.59,3.7
Produto não foi entregue no prazo,Entrega,FastDelivery,SP,149.95,4.3
Não consegui resolver meu problema,Atendimento,SuperCompras,SC,41.35,1.8
Fui mal atendido na loja física,Atendimento,FastDelivery,CE,73.47,14.3
Cobrança duplicada no cartão,Cobrança Indevida,TechMart,PR,87.78,7.9
Produto veio danificado na entrega,Produto Defeituoso,SuperCompras,MG,1273.95,3.7
Atendimento muito demorado no telefone,Atendimento,TechMart,PE,91.76,17.9
Entrega foi feita no endereço errado,Entrega,MegaStore,BA,661.65,4.4
Entrega foi feita no endereço errado,Entrega,SuperCompras,RJ,560.38,4.3
Produto não foi entregue no prazo,Entrega,TechMart,CE,775.16,4.9
Valor diferente do acordado,Cobrança Indevida,TechMart,SP,112.72,5.2
Funcionário foi grosseiro e mal educado,Atendimento,FastDelivery,RJ,88.37,7.5
Valor diferente do acordado,Cobrança Indevida,SuperCompras,SP,429.75,7.5
Produto chegou muito atrasado,Entrega,EletroMax,SC,185.66,4.3
Atendimento muito demorado no telefone,Atendimento,TechMart,GO,91.08,1.1
Defeito na tela do celular,Produto Defeituoso,TechMart,RS,1855.82,3.3
Entrega foi feita no endereço errado,Entrega,MegaStore,PR,450.94,6.3
Entrega foi feita no endereço errado,Entrega,EletroMax,SP,180.5,2.0
Produto veio danificado na entrega,Produto Defeituoso,SuperCompras,SP,775.56,11.6
Valor diferente do acordado,Cobrança Indevida,SuperCompras,RS,299.9,6.2
Produto não foi entregue no prazo,Entrega,EletroMax,PR,701.92,1.5
Atendimento muito demorado no telefone,Atendimento,SuperCompras,CE,26.18,12.9
Entregador foi mal educado,Entrega,MegaStore,RJ,736.26,4.3
Produto não foi entregue no prazo,Entrega,FastDelivery,SP,270.39,5.4
Aparelho parou de funcionar após poucos dias,Produto Defeituoso,MegaStore,GO,1598.17,14.2
Valor diferente do acordado,Cobrança Indevida,EletroMax,SC,209.63,1.5
Funcionário foi grosseiro e mal educado,Atendimento,EletroMax,BA,35.7,13.1
Produto não foi entregue no prazo,Entrega,MegaStore,CE,187.13,2.8
Atendimento muito demorado no telefone,Atendimento,EletroMax,RS,21.6,19.4
Aparelho parou de funcionar após poucos dias,Produto Defeituoso,MegaStore,RJ,882.85,7.7
Entrega foi feita no endereço errado,Entrega,FastDelivery,SP,574.6,2.5
Atendente não soube me informar,Atendimento,SuperCompras,PR,20.6,1.0
Funcionário foi grosseiro e mal educado,Atendimento,TechMart,BA,24.24,13.6
Atendente não soube me informar,Atendimento,SuperCompras,RS,85.7,18.8
Valor diferente do acordado,Cobrança Indevida,SuperCompras,RS,220.78,3.8
Entregador foi mal educado,Entrega,EletroMax,RS,121.92,3.0
Cobrança após cancelamento do serviço,Cobrança Indevida,MegaStore,GO,247.25,8.7
Atendente não soube me informar,Atendimento,MegaStore,PR,8.81,15.8
Cobrança após cancelamento do serviço,Cobrança Indevida,MegaStore,MG,99.44,7.4
Produto chegou com defeito de fábrica,Produto Defeituoso,MegaStore,SC,462.9,1.6
Produto chegou com defeito de fábrica,Produto Defeituoso,MegaStore,SC,1722.97,10.3
Taxa não informada na contratação,Cobrança Indevida,FastDelivery,SC,273.24,3.3
Aparelho parou de funcionar após poucos dias,Produto Defeituoso,SuperCompras,SP,286.54,5.2
Cobraram valor a mais na fatura,Cobrança Indevida,FastDelivery,BA,308.28,2.5
Fui mal atendido na loja física,Atendimento,TechMart,RS,58.27,3.4
Produto não foi entregue no prazo,Entrega,SuperCompras,RJ,171.51,3.0
Cobraram valor a mais na fatura,Cobrança Indevida,FastDelivery,PE,215.79,3.5
Entregador foi mal educado,Entrega,FastDelivery,CE,656.12,2.5
Entregador foi mal educado,Entrega,SuperCompras,SC,607.46,5.8
Entrega foi feita no endereço errado,Entrega,FastDelivery,GO,328.63,2.7
Fui mal atendido na loja física,Atendimento,FastDelivery,SC,33.63,18.5
Atendimento muito demorado no telefone,Atendimento,MegaStore,RJ,6.31,7.2
Entregador foi mal educado,Entrega,EletroMax,PE,212.19,3.9
Taxa não informada na contratação,Cobrança Indevida,FastDelivery,PE,239.27,8.6
Não consegui resolver meu problema,Atendimento,SuperCompras,PE,76.87,2.2
Atendimento muito demorado no telefone,Atendimento,MegaStore,BA,3.65,2.0
Fui mal atendido na loja física,Atendimento,TechMart,PR,25.09,2.9
Aparelho parou de funcionar após poucos dias,Produto Defeituoso,FastDelivery,MG,1728.56,5.8
Fui mal atendido na loja física,Atendimento,FastDelivery,PR,9.95,15.6
Taxa não informada na contratação,Cobrança Indevida,SuperCompras,CE,435.23,6.4
Produto não foi entregue no prazo,Entrega,FastDelivery,CE,515.69,3.7
Taxa não informada na contratação,Cobrança Indevida,MegaStore,SC,101.48,1.9
Fui mal atendido na loja física,Atendimento,TechMart,GO,17.19,11.4
Fui mal atendido na loja física,Atendimento,MegaStore,MG,85.2,11.6
Atendente não soube me informar,Atendimento,SuperCompras,RJ,37.7,12.5
Fui mal atendido na loja física,Atendimento,SuperCompras,CE,57.57,3.4
Não recebi o produto comprado,Entrega,TechMart,PR,443.75,2.2
Entregador foi mal educado,Entrega,TechMart,PR,273.49,6.1
Não recebi o produto comprado,Entrega,MegaStore,RS,612.47,3.8
Valor diferente do acordado,Cobrança Indevida,SuperCompras,PR,497.85,5.1
Produto veio danificado na entrega,Produto Defeituoso,TechMart,BA,457.74,2.8
Entregador foi mal educado,Entrega,FastDelivery,GO,465.37,1.1
Defeito na tela do celular,Produto Defeituoso,FastDelivery,CE,1642.48,13.4
Produto não foi entregue no prazo,Entrega,FastDelivery,PR,733.19,3.3
Produto chegou muito atrasado,Entrega,EletroMax,RJ,750.25,5.5
Fui mal atendido na loja física,Atendimento,SuperCompras,CE,42.86,12.9
Cobraram valor a mais na fatura,Cobrança Indevida,EletroMax,MG,118.31,8.2
Fui mal atendido na loja física,Atendimento,EletroMax,MG,24.23,4.9
Atendente não soube me informar,Atendimento,SuperCompras,GO,33.88,8.7
Atendente não soube me informar,Atendimento,EletroMax,MG,64.04,17.2
Cobrança duplicada no cartão,Cobrança Indevida,TechMart,BA,151.51,6.3
Produto chegou com defeito de fábrica,Produto Defeituoso,EletroMax,RJ,1497.62,4.2
Não recebi o produto comprado,Entrega,EletroMax,RJ,395.22,2.0
Atendimento muito demorado no telefone,Atendimento,MegaStore,GO,58.33,17.8
Taxa não informada na contratação,Cobrança Indevida,TechMart,SC,401.92,1.7
Cobraram valor a mais na fatura,Cobrança Indevida,FastDelivery,BA,143.08,9.4
Produto chegou muito atrasado,Entrega,MegaStore,RJ,689.76,3.8
Atendimento muito demorado no telefone,Atendimento,EletroMax,RS,93.89,6.6
Atendente não soube me informar,Atendimento,MegaStore,SC,68.91,17.4
Atendente não soube me informar,Atendimento,TechMart,BA,3.04,14.8
Entrega foi feita no endereço errado,Entrega,EletroMax,RS,72.05,6.8
Produto veio danificado na entrega,Produto Defeituoso,TechMart,RJ,1686.93,10.1
Aparelho parou de funcionar após poucos dias,Produto Defeituoso,FastDelivery,RS,1444.99,14.6
Produto não foi entregue no prazo,Entrega,FastDelivery,PR,286.2,6.6
Aparelho parou de funcionar após poucos dias,Produto Defeituoso,SuperCompras,PE,399.37,13.5
Funcionário foi grosseiro e mal educado,Atendimento,MegaStore,MG,52.16,3.4
Produto veio danificado na entrega,Produto Defeituoso,EletroMax,SP,92.6,11.8
Defeito na tela do celular,Produto Defeituoso,EletroMax,GO,885.29,1.4
